fipscode,last,party,votepct
05027,Pierce,Ind,0.001277
05027,Myers,Oth,0.001161
05027,Gammon,Ind,0.001045
05029,Trump,GOP,0.655613
05029,Biden,Dem,0.301094
05029,Collins,Ind,0.010132
05029,Jorgensen,Lib,0.008981
05029,Myers,Oth,0.005642
05029,De La Fuente,Ind,0.003915
05029,West,Ind,0.003569
05029,Pierce,Ind,0.002648
05029,Blankenship,CST,0.002533
05029,Gammon,Ind,0.002303
05029,Hawkins,Grn,0.002073
05029,Carroll,ASP,0.000921
05029,La Riva,PSL,0.000576
05031,Trump,GOP,0.663655
05031,Biden,Dem,0.309548
05031,Jorgensen,Lib,0.011425
05031,West,Ind,0.004077
05031,Hawkins,Grn,0.003142
05031,Blankenship,CST,0.001844
05031,Carroll,ASP,0.001662
05031,Gammon,Ind,0.001117
05031,Collins,Ind,0.001039
05031,La Riva,PSL,0.001039
05031,Pierce,Ind,0.000727
05031,De La Fuente,Ind,0.000441
05031,Myers,Oth,0.000286
05033,Trump,GOP,0.772363
05033,Biden,Dem,0.205845
05033,Jorgensen,Lib,0.011374
05033,West,Ind,0.002034
05033,Collins,Ind,0.001619
05033,Hawkins,Grn,0.001453
05033,Pierce,Ind,0.001204
05033,De La Fuente,Ind,0.001079
05033,Blankenship,CST,0.000913
05033,Gammon,Ind,0.000913
05033,Myers,Oth,0.000498
05033,Carroll,ASP,0.000374
05033,La Riva,PSL,0.000332
05035,Trump,GOP,0.448036
05035,Biden,Dem,0.520193
05035,West,Ind,0.007821
05035,Jorgensen,Lib,0.006843
05035,Gammon,Ind,0.003849
05035,Collins,Ind,0.002749
05035,De La Fuente,Ind,0.002138
05035,Hawkins,Grn,0.001772
05035,Blankenship,CST,0.001527
05035,Carroll,ASP,0.001466
05035,La Riva,PSL,0.001344
05035,Myers,Oth,0.001161
05035,Pierce,Ind,0.0011
05037,Trump,GOP,0.712475
05037,Biden,Dem,0.255258
05037,Jorgensen,Lib,0.006914
05037,Myers,Oth,0.006194
05037,West,Ind,0.00533
05037,Collins,Ind,0.004322
05037,Pierce,Ind,0.003025
05037,Blankenship,CST,0.002017
05037,Carroll,ASP,0.001296
05037,Hawkins,Grn,0.001152
05037,Gammon,Ind,0.00072
05037,La Riva,PSL,0.00072
05037,De La Fuente,Ind,0.000576
05039,Trump,GOP,0.593809
05039,Biden,Dem,0.363533
05039,West,Ind,0.007173
05039,Pierce,Ind,0.006795
05039,Myers,Oth,0.006418
05039,Jorgensen,Lib,0.005285
05039,Blankenship,CST,0.003398
05039,La Riva,PSL,0.003398
